  1: 종류 | 아이템 이름 | 재료 | 개수 | 보스 | 레벨
  2: 무기 | 여명의 왕관 | 드루이드 지팡이 | 1 | 조합템 | 
  3:  |  | 용망의 눈 | 1 | 봉인된 영혼의 족쇄 | 
  4:  |  | 피의 문양 | 1 | 봉인된 피의 선조 스토릭 | 
  5:  |  | 잊힌 고대 마나석 | 1 | 봉인된 파멸의 힘 카시아르 | 
  6:  |  | 명해의 수정 가지 | 1 | 여왕 아즈샤라 | 
  7:  |  | 천수화의 조각 | 1 | 여왕 아즈샤라 | 
  8:  |  | 파천의 뇌석 | 1 | 빛의 그레일린 | 
  9:  | 드루이드 지팡이 | 엘프 왕의 홀 | 1 | 조합템 | 
 10:  |  | 명해의 수정 가지 | 1 | 여왕 아즈샤라 | 
 11:  |  | 영혼 정화의 성목 | 1 | 빛의 그레일린 | 
 12:  |  | 자연의 씨앗 | 1 | 수호자 노렌 | 
 13:  |  | 뒤틀린 결정 | 1 | 제7마왕 모르페우스 | 
 14:  |  | 고대 혈정 | 1 | 어둠의 백작 데셀록 | 
 15:  |  | 암흑의 회한 | 1 | 마리안느 | 
 16:  | 엘프 왕의 홀 | 정령목 홀 | 1 | 조합템 | 
 17:  |  | 자연의 씨앗 | 1 | 수호자 노렌 | 
 18:  |  | 회오리의 핵 | 1 | 실프 | 
 19:  |  | 성스러운 조각 | 1 | 산타클로스 | 
 20:  |  | 사령의 인광 가루 | 1 | 죽음의 리치 | 
 21:  |  | 에픽 결정 | 12 | 드랍템 | 
 22:  | 정령목 홀 | 영혼목 지팡이 | 1 | 죽음의 리치 | 
 23:  |  | 마충의 유해 | 1 | 빙하의 죽음벌레 형제 | 
 24:  |  | 마도서 | 1 | 마리안느 | 
 25:  |  | 암흑의 회한 | 1 | 마리안느 | 
 26:  |  | 희미한 결정 | 10 | 드랍템 | 
 27: 갑옷 | 신휘-성스러운 치유 로브 | 생명의 기적-자연의 선물 | 1 | 조합템 | 
 28:  |  | 피의 문양 | 1 | 봉인된 피의 선조 스토릭 | 380
 29:  |  | 혼돈의 족쇄 | 1 | 봉인된 파멸의 힘 카시아르 | 380
 30:  |  | 영혼 문양 | 1 | 봉인된 영혼의 족쇄 | 380
 31:  |  | 영혼 정화의 성목 | 1 | 빛의 그레일린 | 360
 32:  |  | 명해의 수정 가지 | 1 | 여왕 아즈샤라 | 360
 33:  |  | 심빙의 송곳 | 1 | 얼음 그림자 아퀼리스 | 360
 34:  | 생명의 기적-자연의 선물 | 고대 수호자의 의복 | 1 | 조합템 | 
 35:  |  | 영구동토의 핵 | 1 | 얼음 그림자 아퀼리스 | 360
 36:  |  | 죽음의 정수 | 1 | 언데드 군주 | 360
 37:  |  | 생명의 싹 | 1 | 수호자 노렌 | 340
 38:  |  | 은하의 모래 | 1 | 별의 정령 알갈론 | 340
 39:  |  | 뒤틀린 피의 깃털 | 1 | 혈마의 시체 | 320
 40:  |  | 물의 정수 | 1 | 심해 거인 레비아탄 | 260
 41:  | 고대 수호자의 의복 | 정교한 로브 | 1 | 수호자 노렌 | 340
 42:  |  | 뒤틀린 결정 | 1 | 제7마왕 모르페우스 | 340
 43:  |  | 자연의 씨앗 | 1 | 수호자 노렌 | 340
 44:  |  | 복음의 조각 | 1 | 전쟁의 천사 임페리우스 | 340
 45:  |  | 명계의 침향목 | 1 | 죽음의 리치 | 320
 46:  |  | 신앙의 핵 | 1 | 성역의 대사제 | 320
 47: 투구 | 별신의 왕관 | 프로토스 왕관 |  | 조합템 | 
 48:  |  | 피의문양 | 1 | 봉인된 피의 선조 스토릭 | Lv.380
 49:  |  | 혼돈의 족쇄 | 1 | 봉인된 파멸의 힘 카시아르 | Lv.380
 50:  |  | 잊힌 고대 마나석 | 1 | 봉인된 파멸의 힘 카시아르 | Lv.380
 51:  |  | 영혼 정화의 성목 | 1 | 빛의 그레일린 | Lv.360
 52:  |  | 명하의 수정 가지 | 1 | 여왕 아즈샤라 | Lv.360
 53:  |  | 암흑 결정 | 1 | 언데드 군주 | Lv.360
 54:  | 프로토스 왕관 | 별의 왕관 |  | 조합템 | 
 55:  |  | 영혼 정화의 성목 | 1 | 빛의 그레일린 | Lv.360
 56:  |  | 죽음의 그림자 | 1 | 언데드 군주 | Lv.360
 57:  |  | 지옥불의 핵 | 1 | 화염의 폭군 갈라무드 | Lv.340
 58:  |  | 자비의 성광 조각 | 1 | 전쟁의 전사 임페리우스 | Lv.340
 59:  |  | 회오리의 핵 | 1 | 실프 | Lv.320
 60:  |  | 빛의 문장 조각 | 1 | 성역의 대사제 | Lv.320
 61:  | 별의 왕관 | 에메랄드 왕관 | 1 | 수호자 노렌 | Lv.340
 62:  |  | 별의 파편 | 1 | 빛의 정령 알갈론 | Lv.340
 63:  |  | 복음의 조각 | 1 | 전쟁의 천사 임페리우스 | Lv.340
 64:  |  | 적염마의 피 | 1 | 화염의 폭군 갈라무드 | Lv.340
 65:  |  | 푸른 바람의 호박 | 1 | 심해의 마녀 바쉬 | Lv.320
 66:  |  | 빛의 문장 조각 | 1 | 성역의 대사제 | Lv.320
 67: 장신구 | 영원의 모래시계 | 시공의 폭풍-영원의 반지 | 1 | 조합템 | 
 68:  |  | 속세의 빛-만가의 등불 | 1 | 조합템 | Lv.380
 69:  |  | 영원의 기어 | 1 | TitonX-4060 | Lv.380
 70:  |  | 영혼 문양 | 1 | 봉인된 영혼의 족쇄 | Lv.380
 71:  |  | 영혼 정수 | 1 | 봉인된 영혼의 족쇄 | Lv.380
 72:  |  | 영혼 정화의 성목 | 1 | 빛의 그레일린 | 360
 73:  |  | 멸세의 화염깃 | 1 | 작열하는 용 이그니르 | 340
 74:  | 시공의 폭풍-영원의 반지 | 시공 질서의 반지 | 1 | 조합템 | 360
 75:  |  | 영혼정화의 성목 | 1 | 빛의 그레일린 | 360
 76:  |  | 암흑의 핵 | 1 | 제5마왕 아노시스 | 360
 77:  |  | 별의 파편 | 1 | 별의정령 알갈론 | 340
 78:  |  | 복음의 조각 | 1 | 전쟁의 천사 임페리우스 | 340
 79:  |  | 은하의 모래 | 1 | 별의 정령 알갈론 | 340
 80:  | 시공 질서의 반지 | 시간의 반지 | 1 | 조합템 | 340
 81:  |  | 별의 파편 | 1 | 별의 정령 알갈론 | 340
 82:  |  | 성스러운 결정 | 1 | 전쟁의 천사 임페리우스 | 340
 83:  |  | 푸른 바람의 호박 | 1 | 심해의 마녀 바쉬 | 320
 84:  |  | 폭염 결정의 정수 | 1 | 용암 화염수 | 320
 85:  |  | 세라프의 깃털 | 1 | 성역의 대주교 | 320
 86:  | 시간의 반지 | 시간 반지 | 1 | 산타클로스 | 240
 87:  |  | 빛의 문장 조각 | 1 | 셩역의 대사제 | 320
 88:  |  | 고대의 비전 | 1 | 용암 화염수 | 320
 89:  |  | 암흑의 회환 | 1 | 마리안느 | 300
 90:  |  | 성스러운 결정 | 1 | 산타클로스 | 240
 91:  |  | 폭염 결정의 정수 | 1 | 용암 화염수 | 320
 92:  | 속세의 빛-만가의 등불 | 속세의 빛-우키요에 두루마리 | 1 | 조합템 | 360
 93:  |  | 혼을 녹이는 화염 결정 | 1 | 화염의 만샤 | 360
 94:  |  | 파천의 뇌석 | 1 | 빛의 그레일린 | 360
 95:  |  | 용숨결 호박 | 1 | 작열하는 용 이그니르 | 340
 96:  |  | 지옥불의 핵 | 1 | 화염의 폭군 갈라무드 | 340
 97:  |  | 끓어오르는 수정 가루 | 1 | 화염 거인 | 320
 98:  |  | 성스러운 결정 | 1 | 산타클로스 | 240
 99:  | 속세의 및-우키요에 두루마리 | 성서 | 1 | 성역의 대사제 | 320
100:  |  | 자비의 성광 조각 | 1 | 전쟁의 천사 임페리우스 | 340
