=== BOSS SHEET (249 rows) ===
Header: ('보스이름', '레벨', '아이템 이름', '종류')
Total unique bosses: 43
  - 훈련 교관 우사로 (Lv.160) -> 7 drops: ['군용 갑옷', '군용 투구', '군용 장검', '군용 활', '군용 지팡이']
  - 설원 엘프 (Lv.200) -> 7 drops: ['얼어붙은 석궁', '겨울 홀', '서리 갑옷', '얼음 망토', '설원 반지']
  - 산타클로스 (Lv.240) -> 6 drops: ['크리스마스 드레스', '크리스마스 모자', '크리스마스 선물 상자', '시간 반지', '성스러운 조각']
  - 대지 수호자 로샨 (Lv.260) -> 8 drops: ['대지 수호자 전투 도끼', '대지 수호자 석궁', '대지 수호자 지팡이', '대지 수호자 전투 장비', '대지 수호자의 반지']
  - 심해 거인 레비아탄 (Lv.260) -> 5 drops: ['해일-파도 지팡이', '창해의 전투 갑옷', '바다의 가면', '물의 축복', '물의 정수']
  - 나가 왕실 장군 (Lv.280) -> 4 drops: ['천둥의 격노', '뇌전 분쇄자', '번개 지팡이', '아다만타이트']
  - 암흑 망령 (Lv.280) -> 5 drops: ['환영 활', '폭파자', '죄악의 눈', '지옥석 조각', '암흑의 원한']
  - 어둠의 백작 데셀록 (Lv.300) -> 4 drops: ['타락한 자의 반지', '고대 혈정', '망자의 육신', '암흑 결정']
  - 영혼 포식자 (Lv.300) -> 1 drops: ['살육 두건']
  - 저주받은 인형 마리안느 (Lv.300) -> 7 drops: ['마법 장갑', '비전 지팡이', '비전 두건', '비전 로브', '비밀의 서적']
  - 광풍의 실프 (Lv.320) -> 6 drops: ['바람 문장', '폭풍 활', '뇌전의 성물', '바람 반지', '회오리의 핵']
  - 눈사람 (Lv.320) -> 7 drops: ['얼음 송곳니 검', '겨울 사냥꾼', '설원 로브', '결울 빙모', '겨울 결정']
  - 빙하의 죽음 벌레 (Lv.320) -> 7 drops: ['빙하 죽음 검', '빙하 죽음 총', '빙하 죽음 발톱', '빙하 죽음 갑옷', '빙하 망령 반지']
  - 성역의 대사제 (Lv.320) -> 8 drops: ['성스러운 검', '성서', '성령의 비약', '성스러운 투구', '부활석']
  - 심해의 마녀 바쉬 (Lv.320) -> 8 drops: ['악마의 바다 심연-격노의 활', '뇌전의 격노 홀', '폭풍의 눈', '파도소환사의 뿔피리', '심해 악마 갑옷']
  - 용암 화염수 (Lv.320) -> 6 drops: ['성화 지팡이', '용암 비늘', '작열하는 태양의 의복', '용암 폭발석', '고대의 비전']
  - 제9마왕 아즈모단 (Lv.320) -> 5 drops: ['원죄의 칼날', '망령 법의', '암흑 반지', '명계의 녹', '암흑 악몽의 타액']
  - 죽음의 리치 (Lv.320) -> 7 drops: ['망자의 영혼 활', '영혼목 지팡이', '영혼목 갑옷', '피의 반지', '사령의 인광 가루']
  - 지옥 수호자 (Lv.320) -> 5 drops: ['지옥 투구', '지옥 갑옷', '지옥의 반지', '악마의 비늘', '지옥의 마안']
  - 지옥 악마 (Lv.320) -> 3 drops: ['지옥 지팡이', '마귀의 심장', '암흑별 철']
  - 지옥의 문지기 (Lv.320) -> 5 drops: ['지옥 투구', '지옥 갑옷', '지옥의 반지', '악마의 비늘', '지옥의 마안']
  - 피의 시체 (Lv.320) -> 7 drops: ['붉은 피의 뼈 칼날', '살육의 송곳니', '영혼 장송-피의 로브', '흡혈귀의 송곳니', '피의 결정']
  - 화염 거인 (Lv.320) -> 7 drops: ['용암 대포', '분쇄 권갑', '화염의 산탄총', '성스러운 화염 갑옷', '용융된 핵']
  - 별의정령 알갈론 (Lv.340) -> 7 drops: ['별빛의 지팡이', '별 파괴자', '행성 수호자', '행성 추적자', '북극성의 기도']
  - 수호자 노렌 (Lv.340) -> 6 drops: ['생명의 반지', '정교한 로브', '에메랄드 왕관', '생명석', '생명의 싹']
  - 영혼의 수확자 타나토스 (Lv.340) -> 6 drops: ['죽음의 심판-운명의 낫', '악마 심연-죽음의 전투 갑옷', '암흑 불멸의 영혼 의복', '어둠-타락의 심장', '망자의 촉수']
  - 작열하는 용 이그니르 (Lv.340) -> 6 drops: ['용의 격노-용혼 홀', '용의 격노-용혼 갑옷', '용의 격노-용혼 반지', '용의 격노-용왕의 뿔 왕관', '용숨결 호박']
  - 전쟁의 천사 임페리우스 (Lv.340) -> 8 drops: ['성스러운 빛의 심판-타오르는 창', '성스러운 갑옷', '천상의 지팡이', '천상의 투구', '천상의 징표']
  - 제7마왕 모르페우스 (Lv.340) -> 7 drops: ['심연의 도끼', '암살자', '타락한 자', '탐욕의 의지', '지옥의 정수']
  - 화염의 폭군 갈라무드 (Lv.340) -> 6 drops: ['분쇄자', '폭발의 칼날', '초월 합금 갑옷', '우주의 축복', '지옥불의 핵']
  - 광염의 만샤 (Lv.360) -> 5 drops: ['지옥불 권갑', '지옥불 갑옷', '만샤의 영혼 햇불', '불씨의 핵', '혼을 녹이는 화염 결정']
  - 망령 메르켈 (Lv.360) -> 5 drops: ['허무의 신비석', '악몽의 공포 반지', '유령 그림자 로브', '그림자 결정', '그림자의 사지']
  - 빛의 그레일린 (Lv.360) -> 5 drops: ['번개 증폭기', '천우뇌법 전투 갑옷', '빛-영광의 투구', '영혼 정화의 성목', '파천의 뇌석']
  - 아즈샤라 여왕 (Lv.360) -> 5 drops: ['광기의 바다 심연 석궁', '심해 수호자', '해일 정령의 날개', '천수화의 조각', '명해의 수정 가지']
  - 언데드 군주 (Lv.360) -> 5 drops: ['쇄혼검', '지옥의 성배', '암흑 결정', '죽음의 정수', '죽음의 그림자']
  - 얼음 그림자 아퀼리스 (Lv.360) -> 5 drops: ['얼음 환상 바닞', '설향석', '다가오는 겨울', '영구동토의 핵', '심빙의 송곳']
  - 역병의 근원 마이어스 (Lv.360) -> 4 drops: ['모든 역병의 근원-맹독검', '모든 역병의 근원-오염된 심장', '타락한 마나핵', '독무의 결정']
  - 제5마왕 아노시스 (Lv.360) -> 5 drops: ['악마의 속삭임', '악마의 유혹', '심연 악마 가면', '혼돈의 혈정', '암흑의 핵']
  - TitonX-4060 (Lv.380) -> 3 drops: ['유적 금속 조각', '영원의 기어', '동력 핵']
  - 봉인된 영혼의 족쇄 (Lv.380) -> 7 drops: ['욕망의 눈', '고통의 손', '분노의 송곳니', '영혼 구속의 족쇄', '영혼 정수']
  - 봉인된 파멸의 힘 카시아르 (Lv.380) -> 7 drops: ['고대의 악몽-파괴의 검', '고대의 악몽-낙성', '고대의 악몽-절망의 투구', '고대의 악몽-월성의 추락', '혼돈의 족쇄']
  - 봉인된 피의 선조 스토릭 (Lv.380) -> 7 drops: ['검은 쌍둥이 반지-얼음 파편', '검은 쌍둥이 반지-둔화 파편', '검은 쌍둥이 반지-섬광 파편', '검은 쌍둥이 반지-혈기 파편', '타락한 피의 발톱']
  - 화염계의 군주 이프리트 (Lv.400) -> 4 drops: ['지고의 화염-이프리트', '혼돈의 핵', '화염 영역의 근원', '영겁의 심염']

=== 블레이드 스피릿 SHEET ===
Total rows: 180
  1: 종류 | 아이템 이름 | 재료 | 개수 | 보스 | 레벨
  2: 무기 | 난류 | 토르의 칼날 |  |  | 380
  3:  |  | 고통의 손 | 1 |  | 
  4:  |  | 타락한 피의 발톱 | 1 |  | 
  5:  |  | 잊힌 고대 마나석 | 1 |  | 
  6:  |  | 파천의 뇌석 | 1 |  | 
  7:  |  | 천수화의 조각 | 1 |  | 
  8:  | 토르의 칼날 | 은 그림자 칼날 |  |  | 360
  9:  |  | 명해의 수정 가지 | 1 |  | 
 10:  |  | 파천의 뇌석 | 1 |  | 
 11:  |  | 명계의 녹 | 1 |  | 
 12:  |  | 회오리의 핵 | 1 |  | 
 13:  |  | 세라프의 깃털 | 1 |  | 
 14:  |  | 암흑의 회한 | 1 |  | 
 15:  | 은 그림자 칼날 | 뇌전 칼날 |  |  | 340
 16:  |  | 폭풍의 문장 | 1 |  | 
 17:  |  | 별의 파편 | 1 |  | 
 18:  |  | 뇌전의 문양 | 1 |  | 
 19:  |  | 물의 정수 | 1 |  | 
 20:  |  | 성광의 천 | 1 |  | 
 21:  | 뇌전 칼날 | 천둥의 격노 |  |  | 320
 22:  |  | 뇌전의 문양 | 1 |  | 
 23:  |  | 지옥의 마안 | 1 |  | 
 24:  |  | 아다만타이트 | 1 |  | 
 25:  |  | 물의 정수 | 1 |  | 
 26: 갑옷 | 심연의 화염 갑옷 | 심연의 악몽 갑옷 |  |  | 380
 27:  |  | 타오르는 하늘 갑옷 |  |  | 
 28:  |  | 영원의 기어 | 1 |  | 
 29:  |  | 영혼 정수 | 1 |  | 
 30:  |  | 파멸의 재 | 1 |  | 
 31:  |  | 암흑의 핵 | 1 |  | 
 32:  |  | 영혼 포식의 피 | 1 |  | 
 33:  | 심연의 악몽 갑옷 | 붉은 화염 전투 셋트 |  |  | 360
 34:  |  | 암흑 결정 | 1 |  | 
 35:  |  | 혼돈의 결정 | 1 |  | 
 36:  |  | 뒤틀린 결정 | 1 |  | 
 37:  |  | 회오리의 핵 | 1 |  | 
 38:  |  | 악마의 비늘 | 1 |  | 
 39:  |  | 암흑의 원한 | 1 |  | 
 40:  | 붉은 화염 전투 셋트 | 영혼목 갑옷 | 1 |  | 340
 41:  |  | 적염마의 피 | 1 |  | 
 42:  |  | 멸세의 화염깃 | 1 |  | 
 43:  |  | 화염의 심장 | 1 |  | 
 44:  |  | 끓어오르는 수정 가루 | 1 |  | 
 45:  | 타오르는 하늘 갑옷 | 격노한 화염 갑옷 |  |  | 360
 46:  |  | 혼을 녹이는 화염 결정 | 1 |  | 
 47:  |  | 영혼 정화의 성목 | 1 |  | 
 48:  |  | 용숨결 호박 | 1 |  | 
 49:  |  | 지옥불의 핵 | 1 |  | 
 50:  |  | 고대 혈정 | 1 |  | 
161:  |  | 영혼 정수 | 1 |  | 
162:  |  | 암흑의 핵 | 1 |  | 
163:  |  | 영혼 정화의 성목 | 1 |  | 
164:  | 암흑 심연-지옥불석 | 암월의 유령석 |  |  | 360
165:  |  | 그림자 결정 | 1 |  | 
166:  |  | 암흑 결정 | 1 |  | 
167:  |  | 지옥불의 핵 | 1 |  | 
168:  |  | 뒤틀린 결정 | 1 |  | 
169:  |  | 명계의 녹 | 1 |  | 
170:  | 암월의 유령석 | 지옥 마나 결정 |  |  | 30
171:  |  | 뒤틀린 결정 | 1 |  | 
172:  |  | 자비의 성광 조각 | 1 |  | 
173:  |  | 지옥볼의 핵 | 1 |  | 
174:  |  | 화염의 심장 | 1 |  | 
175:  |  | 암흑별 철 | 1 |  | 
176:  | 지옥 마나 결정 | 지옥석 조각 | 1 |  | 320
177:  |  | 암흑별 철 | 1 |  | 
178:  |  | 폭염 결정의 정수 | 1 |  | 
179:  |  | 물의 정수 | 1 |  | 
180:  |  | 아다만타이트 | 1 |  | 
